24,26,52,101,99,49
99,101,293,291
24,49,241,216
49,99,291,241
216,218,244,293,291,241
26,52,244,218
52,101,293,244
24,26,218,216
177,179,185,191,189,183
185,191,383,377
177,179,371,369
179,185,377,371
189,191,383,381
183,189,381,375
177,183,375,369
369,371,377,383,381,375
42,60,252,234
43,61,253,235
234,235,253,295,294,252
60,102,294,252
61,103,295,253
102,103,295,294
42,43,235,234
42,43,61,103,102,60
201,203,209,215,213,207
9,11,17,23,21,15
17,23,215,209
9,11,203,201
21,23,215,213
15,21,213,207
9,15,207,201
11,17,209,203
112,118,215,209
99,101,203,201
24,30,55,49
36,38,68,66
66,68,118,215,213,115
30,36,66,115,109,55
109,115,213,207
49,55,109,207,201,99
32,38,68,118,112,58
26,32,58,52
52,58,112,209,203,101
24,26,32,38,36,30
279,285,335,353,347,321
87,93,143,161,155,129
143,161,353,335
93,143,335,285
87,93,285,279
87,129,321,279
155,161,353,347
129,155,347,321
135,165,357,327
137,167,359,329
273,275,329,359,357,327
81,83,275,273
81,83,137,167,165,135
165,167,359,357
83,137,329,275
81,135,327,273
121,144,336,313
127,150,342,319
313,319,342,336
31,54,246,223
121,144,246,223
25,48,240,217
48,54,246,144,336,342,150,240
25,31,54,48
127,150,240,217
25,31,223,121,313,319,127,217
267,269,316,338,336,313
75,77,269,267
124,146,338,316
75,77,124,146,144,121
77,124,316,269
144,146,338,336
75,121,313,267
138,156,348,330
277,283,330,348,342,319
150,156,348,342
85,91,138,156,150,127
91,138,330,283
85,91,283,277
85,127,319,277
330,332,350,348
140,158,350,332
140,158,252,234
60,62,254,156,348,350,158,252
138,156,254,236
42,44,236,138,330,332,140,234
42,44,62,60
44,62,254,236
139,157,349,331
45,63,255,237
141,159,253,235
331,333,351,349
141,159,351,333
61,63,255,157,349,351,159,253
139,157,255,237
43,45,237,139,331,333,141,235
43,45,63,61
84,90,282,276
126,151,343,318
276,282,331,349,343,318
151,157,349,343
84,90,139,157,151,126
90,139,331,282
84,126,318,276
0,1,3,5,4,2
3,5,197,195
0,2,194,192
1,3,195,193
0,1,193,192
192,193,195,197,196,194
2,4,196,194
4,5,197,196
6,7,13,19,18,12
16,17,23,22
3,5,11,9
18,19,21,23,22,20
8,10,16,22,20,14
12,14,20,18
0,2,8,14,12,6
13,15,21,19
1,3,9,15,13,7
0,1,7,6
2,4,10,8
4,5,11,17,16,10
18,19,211,210
12,18,210,204
6,12,204,198
13,19,211,205
198,199,205,211,210,204
7,13,205,199
6,7,199,198
22,23,215,118,310,311,119,214
16,22,214,208
113,119,214,208
113,119,311,305
112,118,310,304
304,305,311,310
16,17,209,112,304,305,113,208
133,163,355,325
270,271,325,355,354,324
132,162,354,324
162,163,355,354
79,133,325,271
78,79,133,163,162,132
78,132,324,270
78,79,271,270
325,327,357,355
37,67,259,229
135,165,259,229
67,69,261,163,355,357,165,259
37,39,69,67
39,69,261,231
37,39,231,133,325,327,135,229
133,163,261,231
105,107,299,297
3,9,201,99,291,297,105,195
291,293,299,297
105,107,197,195
5,11,203,101,293,299,107,197
63,105,297,255
47,65,257,239
237,239,257,299,297,255
45,47,239,237
45,47,65,107,105,63
65,107,299,257
185,191,286,280
280,286,332,350,344,322
177,179,269,267
316,322,344,338
179,185,280,322,316,269
336,338,344,350,348,342
189,191,286,332,330,283
183,189,283,277
177,183,277,319,313,267
88,94,286,280
184,190,382,376
88,89,95,94
184,190,287,281
89,95,287,281
88,89,281,184,376,377,185,280
94,95,287,190,382,383,191,286
376,377,383,382
88,94,140,158,152,130
130,152,344,322
88,130,322,280
152,158,350,344
94,140,332,286
328,329,359,358
136,166,358,328
40,70,262,232
137,167,262,232
70,71,263,166,358,359,167,262
136,166,263,233
40,41,233,136,328,329,137,232
41,71,263,233
40,41,71,70
272,274,328,358,356,326
171,173,275,273
324,326,356,354
354,355,357,359,358,356
168,169,171,173,172,170
172,173,275,329,328,274
170,172,274,272
169,171,273,327,325,271
168,170,272,326,324,270
168,169,271,270
134,164,356,326
164,166,358,356
80,82,136,166,164,134
82,136,328,274
80,82,274,272
80,134,326,272
75,77,83,81
171,173,365,363
77,83,275,173,365,371,179,269
75,81,273,171,363,369,177,267
363,365,371,369
182,188,380,374
180,186,284,278
182,188,282,276
84,86,92,90
86,92,284,278
90,92,284,186,378,380,188,282
84,86,278,180,372,374,182,276
372,374,380,378
180,186,378,372
176,178,184,190,188,182
178,184,376,370
176,178,370,368
188,190,382,380
176,182,374,368
368,370,376,382,380,374
223,229,259,306,300,246
67,114,306,259
108,114,306,300
54,108,300,246
31,37,67,114,108,54
31,37,229,223
130,152,242,220
131,153,243,221
89,95,141,159,153,131
88,89,131,221,220,130
152,158,252,294,288,242
153,159,253,295,289,243
288,289,295,294
220,221,243,289,288,242
94,95,141,235,234,140
34,56,248,226
124,146,248,226
28,34,226,124,316,322,130,220
50,56,248,146,338,344,152,242
28,34,56,50
28,50,242,220
226,232,262,308,302,248
70,116,308,262
34,40,232,226
110,116,308,302
56,110,302,248
34,40,70,116,110,56
165,167,262,308,306,259
77,83,137,232,226,124
300,302,308,306
144,146,248,302,300,246
75,81,135,229,223,121
120,145,337,312
74,76,125,147,145,120
266,268,317,339,337,312
125,147,339,317
76,125,317,268
74,76,268,266
145,147,339,337
74,120,312,266
30,55,247,222
120,145,247,222
312,318,343,337
49,55,247,145,337,343,151,241
126,151,241,216
24,30,222,120,312,318,126,216
48,98,290,240
25,27,53,100,98,48
217,219,245,292,290,240
25,27,219,217
98,100,292,290
53,100,292,245
27,53,245,219
334,335,353,352
278,284,334,352,346,320
314,320,346,340
186,187,285,335,334,284
181,187,285,279
175,181,279,321,315,265
264,265,315,341,340,314
340,341,347,353,352,346
315,321,347,341
174,180,278,320,314,264
174,175,265,264
174,175,181,187,186,180
66,68,260,162,354,356,164,258
36,66,258,228
134,164,258,228
38,68,260,230
132,162,260,230
36,38,230,132,324,326,134,228
66,115,307,258
164,166,263,309,307,258
20,22,214,212
18,20,212,114,306,308,116,210
67,69,119,214,212,114
19,21,213,115,307,309,117,211
71,117,309,263
70,71,117,211,210,116
69,119,311,261
68,118,310,260
162,163,261,311,310,260
222,228,258,307,301,247
109,115,307,301
55,109,301,247
30,36,228,222
125,147,249,227
76,82,136,233,227,125
74,76,82,80
301,303,309,307
227,233,263,309,303,249
145,147,249,303,301,247
74,80,134,228,222,120
317,323,345,339
281,287,333,351,345,323
178,184,281,323,317,268
176,178,268,266
337,339,345,351,349,343
188,190,287,333,331,282
176,182,276,318,312,266
131,153,345,323
29,35,227,125,317,323,131,221
35,57,249,227
29,35,57,51
51,57,249,147,339,345,153,243
29,51,243,221
89,131,323,281
153,159,351,345
95,141,333,287
172,173,365,364
170,172,364,362
169,171,363,361
168,170,362,360
168,169,361,360
360,361,363,365,364,362
76,82,274,172,364,370,178,268
35,41,233,227
28,29,35,41,40,34
28,29,221,220
364,365,371,377,376,370
74,80,272,170,362,368,176,266
362,364,370,368
14,20,212,206
8,14,206,200
200,202,208,214,212,206
8,10,202,200
10,16,208,202
12,14,206,108,300,302,110,204
108,114,212,206
110,116,210,204
48,54,108,206,200,98
50,56,110,204,198,96
0,6,198,96,288,294,102,192
50,96,288,242
150,156,254,296,290,240
60,62,104,194,192,102
2,8,200,98,290,296,104,194
62,104,296,254
33,39,69,119,113,59
25,27,33,39,37,31
98,100,202,200
53,59,113,208,202,100
27,33,59,53
111,117,309,303
111,117,211,205
13,15,207,109,301,303,111,205
35,41,71,117,111,57
57,111,303,249
51,57,111,205,199,97
96,97,199,198
28,29,51,97,96,50
1,7,199,97,289,295,103,193
51,97,289,243
151,157,255,297,291,241
61,63,105,195,193,103
96,97,289,288
102,103,193,192
143,161,256,238
91,93,143,238,236,138
85,87,93,91
85,87,129,219,217,127
290,292,298,296
236,238,256,298,296,254
155,161,256,298,292,245
129,155,245,219
142,160,257,239
142,160,352,334
46,47,239,142,334,335,143,238
46,47,65,64
46,64,256,238
64,65,257,160,352,353,161,256
86,92,142,160,154,128
128,154,244,218
90,92,142,239,237,139
154,160,257,299,293,244
84,86,128,218,216,126
128,154,346,320
92,142,334,284
154,160,352,346
86,128,320,278
33,39,231,225
225,231,261,311,305,251
59,113,305,251
33,59,251,225
32,58,250,224
224,230,260,310,304,250
58,112,304,250
32,38,230,224
122,148,340,314
122,148,250,224
52,58,250,148,340,346,154,244
26,32,224,122,314,320,128,218
91,93,285,187,379,381,189,283
42,43,45,47,46,44
44,46,238,236
378,379,381,383,382,380
186,187,379,378
85,87,279,181,373,375,183,277
373,375,381,379
181,187,379,373
73,123,315,265
73,79,133,231,225,123
27,33,225,123,315,321,129,219
